# id	left	top	right	bottom	texture_id
[SPRITES]
//CLOUD
51000	176	177	207	197	50
52000	186	177	198	198	50
53000	186	177	207	197	50

//BUSHES
54000	208	192	223	207	50

//TREES
#55001	128	1	159	15	50

//Lakitu
56000	207	177	223	191	50




//GROUND
1000000	208	208	223	223	50
1000001	224	208	239	223	50
1000002	240	208	255	223	50	
1000003	80	208	95	223	50
1000004	96	208	111	223	50
1000005	112	208	127	223	50

//WHITEBLOCK
1010000	0	0	15	15	50
1010001	32	0	47	15	50
1010003	32	32	47	47	50
1010005	16	32	31	47	50
1010004	16	0	31	15	50
1010002	0	32	15	47	50
1010006	0	16	15	31	50
1010007	32	16	47	31	50
1010008	16	16	31	31	50
//PINKBLOCK
1020000	0	48	15	63	50
1020004	16	48	31	63	50
1020001	32	48	47	63	50
1020006	0	64	15	79	50
1020008	16	64	31	79	50
1020007	32	64	47	79	50
1020002	0	80	15	95	50
1020005	16	80	31	95	50
1020003	32	80	47	95	50
//BLUEBLOCK
1030000	48	48	63	63	50
1030004	64	48	79	63	50
1030001	80	48	95	63	50
1030006	48	64	63	79	50
1030008	64	64	79	79	50
1030007	80	64	95	79	50
1030002	48	80	63	95	50
1030005	64	80	79	95	50
1030003	80	80	95	95	50
//GREENBLOCK
1040000	48	0	63	15	50
1040004	64	0	79	15	50
1040001	80	0	95	15	50
1040006	48	16	63	31	50
1040008	64	16	79	31	50
1040007	80	16	95	31	50
1040002	48	32	63	47	50
1040005	64	32	79	47	50
1040003	80	32	95	47	50


//BRICK
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
